Data;Nível (m);Volume (hm³);Volume (%);Q Jusante (m³/s);Q Natural (m³/s);Chuva (mm)
21/04/2023;639,99;88,70789563;99,8723473;30,23;34,02474721;0
20/04/2023;639,98;88,59458745;99,74477857;28,37;51,95365404;0
19/04/2023;639,82;86,79174051;97,7150319;30,62;48,997545;49,2
18/04/2023;639,7;85,45194219;96,20661146;30,01;27,80910475;5,8
17/04/2023;639,74;85,89737612;96,70810607;30,01;35,53571316;0
16/04/2023;639,72;85,67451396;96,45719529;30,08;31,73587897;2,8
15/04/2023;639,73;85,7859087;96,58260977;28,28;32,03979;27,2
14/04/2023;639,73;85,7859087;96,58260977;21,52;24,41672;0
13/04/2023;639,73;85,7859087;96,58260977;21,12;22,97018787;4,4
12/04/2023;639,74;85,89737612;96,70810607;24,99;23,08249316;0
11/04/2023;639,78;86,34397399;97,21091112;21,03;24,25518;0,2
10/04/2023;639,78;86,34397399;97,21091112;20,42;30,35010897;0,2
09/04/2023;639,73;85,7859087;96,58260977;20,45;34,87175114;0,2
08/04/2023;639,64;84,78596339;95,45681499;20,52;30,20487894;25,2
07/04/2023;639,59;84,23296201;94,83421488;20,41;20,06157704;0
06/04/2023;639,62;84,56454732;95,20753231;20,39;17,60494206;0
05/04/2023;639,67;85,11862775;95,83134728;20,73;21,94300673;0
04/04/2023;639,69;85,34076503;96,08144194;21,67;21,79174513;0
03/04/2023;639,72;85,67451396;96,45719529;24,25;23,04154579;0
02/04/2023;639,76;86,12052927;96,95934446;24,26;23,07714694;0,6
01/04/2023;639,8;86,56771087;97,46280671;22,81;23,70813378;0,2
31/03/2023;639,83;86,9038653;97,8412683;22,3;24,06962906;0,2
30/03/2023;639,85;87,12833517;98,09398913;22,31;25,02949793;3
29/03/2023;639,86;87,24068041;98,22047373;23,75;26,40208573;0
28/03/2023;639,87;87,35309927;98,34704122;22,93;28,14602634;0,6
27/03/2023;639,85;87,12833517;98,09398913;22,35;26,69131072;18,8
26/03/2023;639,84;87,01606349;97,96758735;22,33;22,42584294;0
25/03/2023;639,87;87,35309927;98,34704122;22,34;24,48550145;0
24/03/2023;639,89;87,57815819;98,60042523;22,36;25,09499401;0
23/03/2023;639,9;87,69079839;98,72724191;22,38;24,8862484;0
22/03/2023;639,91;87,80351251;98,85414182;22,38;26,58529;0
21/03/2023;639,91;87,80351251;98,85414182;22,37;26,74535;0
20/03/2023;639,91;87,80351251;98,85414182;22,39;28,75325759;0
19/03/2023;639,89;87,57815819;98,60042523;27,86;29,46096241;0
18/03/2023;639,91;87,80351251;98,85414182;36,33;37,49263297;0
17/03/2023;639,94;88,14209916;99,23534175;61,63;51,58309757;0
16/03/2023;640,05;89,38931361;100,6395261;68,62;68,98882688;0,2
15/03/2023;640,08;89,73103452;101,0242547;71;76,11654754;42,6
14/03/2023;640,07;89,6170524;100,8959272;67,31;74,86153533;19
13/03/2023;640,04;89,2755568;100,5114522;69,27;68,91751467;7,6
12/03/2023;640,07;89,6170524;100,8959272;53,91;64,432343;20,6
11/03/2023;640,02;89,04826798;100,2555577;39,82;53,58183241;69
10/03/2023;639,95;88,25510972;99,36257541;30,23;34,58597;22,6
09/03/2023;639,95;88,25510972;99,36257541;35,16;32,80290187;1,4
08/03/2023;640;88,82127839;100;47,15;43,59373013;0
07/03/2023;640,06;89,50314545;100,7676844;39,46;50,02256523;7,8
06/03/2023;640,01;88,93473582;100,1277368;28,93;36,14524235;29,8
05/03/2023;639,98;88,59458745;99,74477857;25,43;33,43934041;6,8
04/03/2023;639,95;88,25510972;99,36257541;24,53;34,56135961;32
03/03/2023;639,91;87,80351251;98,85414182;23,86;27,21024192;0
02/03/2023;639,92;87,91630063;98,98112504;23,85;34,89076422;17
01/03/2023;639,87;87,35309927;98,34704122;20,11;26,74029634;6,4
28/02/2023;639,85;87,12833517;98,09398913;29,94;26,44297752;0
27/02/2023;639,91;87,80351251;98,85414182;30,1;26,47700475;0
26/02/2023;639,97;88,48135379;99,61729373;31,38;29,27743322;0
25/02/2023;640,02;89,04826798;100,2555577;31,82;38,18570965;2
24/02/2023;640,01;88,93473582;100,1277368;30,72;40,47075713;35,6
23/02/2023;639,97;88,48135379;99,61729373;34,52;40,39248318;0,4
22/02/2023;639,96;88,36819457;99,48989271;53,13;48,18493237;24,6
