Local;Data;Mínima;Média;Máxima;Mínima;Média;Máxima;Precipitação (mm)
Juquitiba;06/09/2008;14.28;20.07;25.86;58.03;78.365;98.7;0
Juquitiba;07/09/2008;14.94;21.525;28.11;46.17;72.435;98.7;3.81
Juquitiba;08/09/2008;12.47;18.23;23.99;54.89;76.245;97.6;0.254
Juquitiba;09/09/2008;12.67;14.4;16.13;70.4;83.7;97;0.762
Juquitiba;10/09/2008;10.26;13.89;17.52;71.8;82.15;92.5;0
Juquitiba;11/09/2008;13.61;21.165;28.72;51.73;75.465;99.2;0
Juquitiba;12/09/2008;16;24.29;32.58;27.63;63.265;98.9;0
Juquitiba;13/09/2008;15.74;21.395;27.05;56.21;76.705;97.2;0
Juquitiba;14/09/2008;13.01;17.835;22.66;66.87;82.435;98;25.65
Juquitiba;15/09/2008;12.07;14.07;16.07;81;89.6;98.2;0.508
Juquitiba;16/09/2008;12;13.735;15.47;82.5;90.05;97.6;1.016
Juquitiba;17/09/2008;10.41;13.175;15.94;80.8;89;97.2;0.254
Juquitiba;18/09/2008;9.81;14.57;19.33;43.92;70.56;97.2;2.286
Juquitiba;19/09/2008;5.07;11.6;18.13;51.9;75.25;98.6;0
Juquitiba;20/09/2008;8.42;13.835;19.25;53.51;74.305;95.1;0.254
Juquitiba;21/09/2008;13.01;15.705;18.4;66.03;81.415;96.8;11.94
Juquitiba;22/09/2008;7.48;15.5;23.52;43.84;70.92;98;2.54
Juquitiba;23/09/2008;7.68;14.475;21.27;29.13;62.265;95.4;0
Juquitiba;24/09/2008;10.88;15.305;19.73;58.32;77.76;97.2;1.27
Juquitiba;25/09/2008;12.27;14.765;17.26;79;88.25;97.5;3.556
Juquitiba;26/09/2008;13.21;17.17;21.13;59.73;77.665;95.6;1.778
Juquitiba;27/09/2008;13.68;17.43;21.18;66.2;81.7;97.2;5.842
Juquitiba;28/09/2008;12.81;16.475;20.14;63.55;80.425;97.3;2.54
Juquitiba;29/09/2008;8.01;13.405;18.8;67.77;83.135;98.5;0.254
Juquitiba;30/09/2008;12.36;16.805;21.25;52.5;72.55;92.6;0
Juquitiba;01/10/2008;14.27;17.44;20.61;75.2;86.85;98.5;0.254
Juquitiba;02/10/2008;15.01;21.43;27.85;55.21;76.755;98.3;54.61
Juquitiba;03/10/2008;13.68;19.105;24.53;64.79;81.495;98.2;0
Juquitiba;04/10/2008;16.81;22.37;27.93;51.54;73.47;95.4;0
Juquitiba;05/10/2008;15.47;20.805;26.14;63.25;80.075;96.9;24.64
Juquitiba;06/10/2008;13.61;17.405;21.2;81.2;89.35;97.5;3.302
Juquitiba;07/10/2008;13.07;14.97;16.87;77.9;87.85;97.8;2.794
Juquitiba;08/10/2008;13.21;16.105;19;82.8;90.4;98;2.794
Juquitiba;09/10/2008;10.81;12.41;14.01;90.5;93.4;96.3;4.064
Juquitiba;10/10/2008;10.94;12.97;15;81.5;89.6;97.7;0
Juquitiba;11/10/2008;11.8;17.725;23.65;54.77;76.235;97.7;0.254
Juquitiba;12/10/2008;13.14;19.195;25.25;52.8;75.25;97.7;6.604
Juquitiba;13/10/2008;14.21;20.63;27.05;47.78;72.94;98.1;0.254
Juquitiba;14/10/2008;15.21;23.43;31.65;31.04;63.82;96.6;0
Juquitiba;15/10/2008;16.21;24.72;33.23;24.41;61.005;97.6;0
Juquitiba;16/10/2008;17.75;25.895;34.04;22.61;59.655;96.7;0.508
Juquitiba;17/10/2008;17.28;23.965;30.65;49.57;72.985;96.4;0.508
Juquitiba;18/10/2008;15.74;18.375;21.01;81;88.85;96.7;1.016
Juquitiba;19/10/2008;14.74;17.2;19.66;85.4;91.35;97.3;26.92
Juquitiba;20/10/2008;15.15;16.41;17.67;84.3;90.5;96.7;0
Juquitiba;21/10/2008;15.8;18.94;22.08;69.18;83.29;97.4;0.508
Juquitiba;22/10/2008;14.55;20.435;26.32;61.04;79.62;98.2;0.254
Juquitiba;23/10/2008;16.95;22.44;27.93;50.26;73.68;97.1;1.016
Juquitiba;24/10/2008;18.21;24.43;30.65;38.6;67.3;96;0.254
Juquitiba;25/10/2008;18.14;25.23;32.32;39.27;67.185;95.1;0
Juquitiba;26/10/2008;18.01;24.965;31.92;36.39;65.795;95.2;0
Juquitiba;27/10/2008;19.01;26.1;33.19;25.62;59.81;94;0
Juquitiba;28/10/2008;15.61;21.44;27.27;58.83;77.865;96.9;1.016
Juquitiba;29/10/2008;15.41;16.935;18.46;83.8;90.6;97.4;0.254
Juquitiba;30/10/2008;15.94;19.475;23.01;74;85.55;97.1;10.16
Juquitiba;31/10/2008;15.27;21.23;27.19;56.15;76.375;96.6;0.508
Juquitiba;01/11/2008;13.61;15.345;17.08;85.7;90.75;95.8;0.254
Juquitiba;02/11/2008;15.02;18.64;22.26;66.23;81.615;97;0
Juquitiba;03/11/2008;16.74;20.64;24.54;72.8;85.2;97.6;1.016
Juquitiba;04/11/2008;16.61;23.065;29.52;42.56;69.23;95.9;0.254
Juquitiba;05/11/2008;14.08;20.37;26.66;57.09;77.195;97.3;0
Juquitiba;06/11/2008;17.21;23.26;29.31;44.42;69.61;94.8;0
Juquitiba;07/11/2008;16.14;20.74;25.34;63.73;80.215;96.7;15.49
Juquitiba;08/11/2008;16.34;21.6;26.86;55.08;75.99;96.9;4.826
Juquitiba;09/11/2008;14.67;20.725;26.78;57.08;77.89;98.7;0.254
Juquitiba;10/11/2008;15.88;22.635;29.39;48.45;73.725;99;0
Juquitiba;11/11/2008;17.95;20.84;23.73;69.55;82.725;95.9;2.54
Juquitiba;12/11/2008;16.74;20.27;23.8;65.54;79.92;94.3;0.762
Juquitiba;13/11/2008;15.34;20.7;26.06;60.84;79.32;97.8;7.62
Juquitiba;14/11/2008;16.07;20.695;25.32;64.71;81.205;97.7;0.254
Juquitiba;15/11/2008;13.68;19.335;24.99;69.01;83.605;98.2;0.254
Juquitiba;16/11/2008;13.55;22.335;31.12;29.57;63.085;96.6;0
Juquitiba;17/11/2008;16.14;21.065;25.99;61.45;79.075;96.7;2.032
Juquitiba;18/11/2008;15.67;17.335;19;82.4;89.7;97;14.48
Juquitiba;19/11/2008;13.21;17.475;21.74;73.9;85.6;97.3;5.08
